"Country" "GDP" "ElectricityConsumption" "TradeBalance" "ExternalDebt" "PopulationIncrease" "LifeExpectancy" "InfantMortality" "InternetUsers"
"1" "Afghanistan" 0.808024519 0.033790529 56.82454968 1.204339662 92.77108434 22.07440812 75.45335085 0.056359196
"2" "Albania" 6.937865701 6.191514633 55.75149997 1.672524357 40.562249 79.77452086 19.19579501 0.131504791
"3" "Algeria" 13.90359432 2.730120211 58.65212032 4.625188031 57.22891566 75.53551297 19.49540079 0.112718392
"4" "Angola" 1.365282809 0.499132059 59.66790456 6.117167124 66.06425703 4.825253664 100 0.225436784
"5" "Argentina" 34.52215102 8.348090428 57.0313693 24.18613718 45.98393574 87.50845547 7.505913272 4.527522074
"6" "Armenia" 6.937865701 7.519104254 55.79581846 1.471311798 18.6746988 67.73393461 19.86859396 1.690775878
"7" "Australia" 63.22095291 37.41583373 54.5524109 66.91060338 42.77108434 97.90304397 0.788436268 75.40860417
"8" "Austria" 68.23627751 26.51653804 55.20982952 11.52548125 27.71084337 93.32581736 0.509855453 59.92861169
"9" "Azerbaijan" 6.937865701 8.035761846 57.19497702 0.755530556 29.31726908 59.77452086 41.84494087 0.187863986
"10" "Bahamas" 40.37336305 18.55482259 31.70194072 7.605036244 41.56626506 76.6854566 7.127463863 9.468344918
"11" "Bangladesh" 2.953468933 0.308343658 56.74625921 0.760345097 54.81927711 54.31792559 34.89093298 0.037572797
"12" "Barbados" 38.98021733 9.821943025 45.98140283 9.063078699 32.12851406 82.97632469 4.504599212 4.095434905
"13" "Belgium" 69.07216495 29.72383257 65.14475161 16.19693584 26.10441767 93.59639233 0.64651774 49.44580124
"14" "Bolivia" 5.823349122 1.615236072 56.43901753 4.668577609 58.23293173 62.25479143 29.17739816 0.789028743
"15" "BosniaHerzegovina" 3.315686821 2.74349817 54.72299007 5.08967375 50.60240964 79.59413754 10.97503285 0.169077588
"16" "Botswana" 16.96851491 3.849965173 58.23433139 1.684267139 32.32931727 1.533258174 31.39553219 1.427766297
"17" "Brazil" 16.68988576 8.203819916 56.81680362 7.807481796 41.16465863 60.40586246 17.60315375 9.318053729
"18" "Bulgaria" 15.85399833 17.4667757 56.04933572 7.92250234 0 78.35400225 5.876478318 4.86567725
"19" "BurkinaFaso" 1.365282809 0.048754325 56.66315512 0.621956418 76.70682731 22.45772266 54.37582129 0.056359196
"20" "Cambodia" 2.201170242 0.005408111 56.68041776 0.389684201 68.07228916 45.93010147 32.55716163 0.244223182
"21" "Cameroon" 3.315686821 0.791251384 57.01405134 4.049674314 71.28514056 40.90191657 34.8804205 0.244223182
