%FECHA	DAY	DEM01	DEM02	DEM03	DEM04	DEM05	DEM06	DEM07	DEM08	DEM09	DEM10	DEM11	DEM12	DEM13	DEM14	DEM15	DEM16	DEM17	DEM18	DEM19	DEM20	DEM21	DEM22	DEM23	DEM24
01/01/2011	SAT	26140	24828	23027	21279	20469	20019	19695	19857	20106	19814	21181	22633	23722	24429	24695	23611	23296	24582	27590	28175	28824	29304	29131	27579
02/01/2011	SUN	25394	22798	20680	19583	19486	19346	20113	20833	21474	23063	25211	26378	26353	26682	26834	26055	25940	26654	29657	31044	31592	32410	31784	29326
03/01/2011	MON	26784	23548	22493	21692	21642	22403	24987	29045	33028	34963	36327	36270	36085	35740	34670	34062	34248	35832	37627	38177	37623	37541	35598	32432
04/01/2011	TUE	29292	26266	24495	23767	23570	24291	26418	30096	34270	36826	37956	37966	37122	36725	35763	34712	34949	36119	38427	38491	38177	37407	35732	32624
05/01/2011	WED	29801	26682	25097	24392	23963	24594	27047	30542	33560	35409	36369	36162	35366	35297	33994	33432	33246	33676	34628	33926	33579	33590	32610	30718
06/01/2011	THU	28561	25961	23638	22158	21882	21726	21933	22638	22610	23655	25592	26478	26819	26882	25951	24903	24513	24876	27843	29749	30375	31110	30937	29530
07/01/2011	FRI	26150	23705	22058	21324	20979	21488	23734	26254	29059	31237	32392	32965	32863	32807	31856	31115	30906	31810	33673	34571	34382	33807	32273	30036
08/01/2011	SAT	28112	25206	23787	22828	21846	21655	22759	23713	25003	27369	29333	29977	29814	29713	29203	28325	28185	29189	31791	32886	33472	33491	32444	29834
09/01/2011	SUN	26857	25110	23171	22222	22001	22250	21984	22975	23461	24614	27008	28132	28415	28748	28527	27225	26839	27809	30924	32320	32802	33474	32516	30130
10/01/2011	MON	27266	24606	22952	22700	22770	23006	27086	31707	36375	37090	37182	37265	36314	36235	35056	34231	35127	36025	38420	38917	39135	38207	35672	32280
11/01/2011	TUE	28936	26562	24951	24079	24088	24560	27531	33286	36589	37551	37788	37495	37027	35812	34761	34044	34042	35153	37899	38720	38731	37809	35824	32374
12/01/2011	WED	29444	26663	25193	24585	24494	25444	27979	32636	36535	37433	37062	36519	36170	35699	33960	33816	33319	34874	37652	38799	38554	37965	35244	32108
13/01/2011	THU	29434	26934	25274	24721	24514	25573	28182	32894	36107	37277	37166	36361	36127	35662	34144	33092	33249	34307	37431	38822	38606	37700	35656	32489
14/01/2011	FRI	29522	26876	25842	25187	25106	26016	28463	33734	37437	37531	37305	36670	36175	35677	33364	32799	32712	34008	36689	38200	38094	37063	35001	32381
15/01/2011	SAT	30097	27575	25624	24689	24210	24072	24732	26026	27979	29726	31935	32070	31517	31127	30008	28568	27937	28916	32303	34277	34887	34392	33237	30692
16/01/2011	SUN	28459	25897	23849	22787	22327	22254	22538	23527	24384	25434	27676	28628	28775	28742	28208	26804	26556	27291	30713	32545	33610	34097	33097	31044
17/01/2011	MON	27349	24924	23527	23031	22829	23929	27190	32362	36312	37800	38425	38168	38174	37173	35233	34815	35133	36135	38515	39587	39499	38155	35301	32197
18/01/2011	TUE	29388	26940	25551	24899	24583	25601	28196	33150	37230	38271	38799	38690	38255	37611	35916	35516	35721	36410	39086	40184	39759	38922	35831	32769
19/01/2011	WED	29525	26650	25393	24754	24461	25418	27929	32755	37361	38504	38848	38525	37952	37441	35793	35221	35081	36474	38393	39944	39698	38693	36226	33511
20/01/2011	THU	30037	27101	25530	24898	24646	25526	27798	33047	37396	37888	38169	37039	36780	36130	34332	34265	34387	35444	38147	39762	40265	39167	36378	33045
21/01/2011	FRI	30102	27321	25818	25396	25361	26132	28497	34281	38098	38597	38529	38152	37780	36663	35211	34409	34550	36035	38426	40859	40733	40021	37240	34430
22/01/2011	SAT	32013	29026	26995	26019	25573	25408	25767	27363	29431	32056	34289	35073	34923	34611	33732	32797	32039	32429	35548	37809	37987	38259	36366	33896
23/01/2011	SUN	30600	27741	25633	24524	24125	24139	24385	24809	25856	27280	30074	31507	31639	32209	32506	30836	30094	30805	33855	36545	37469	37818	36451	33461
24/01/2011	MON	29651	26677	25025	24489	24453	25368	28887	33721	39413	40742	41678	41861	41097	40364	38627	38155	38409	39839	42001	44107	43609	41952	39128	35222
25/01/2011	TUE	31352	28838	27294	26594	26560	26949	30361	34953	39810	41351	42198	42044	41597	40916	39401	38819	38884	39523	41738	43773	43603	42432	39310	35255
26/01/2011	WED	31978	29023	27601	26817	26743	27372	30202	35418	40352	41554	41840	41995	41439	40795	39297	38842	39200	39893	41629	43409	42663	41820	39239	35878
27/01/2011	THU	31808	29002	27161	26552	26411	26962	29256	34735	38880	40355	41717	41876	41124	41003	39152	38809	38522	39483	40354	42091	41778	40684	38503	34373
28/01/2011	FRI	30820	27676	26243	25403	25605	25862	29168	34651	38693	40317	41251	41381	40587	40587	38343	38357	38045	38279	39806	41242	40478	39748	37244	34533
29/01/2011	SAT	31798	28989	26850	25637	25079	24774	25173	26657	28448	30918	34501	35011	34039	34227	33270	31914	31247	31841	33987	36218	36592	36327	35185	32957
30/01/2011	SUN	30458	27525	25028	23591	23467	23238	23281	23880	24449	26159	28902	30473	30475	30911	30736	29668	29153	29548	32005	34864	35688	36289	34965	32561
31/01/2011	MON	28893	25720	24331	23755	23486	24468	27525	33979	38581	39789	40714	40665	40289	39866	38175	37839	38142	38704	40615	42229	42071	41213	38215	34431
01/02/2011	TUE	30942.7	28331.3	26504.7	26319.4	26050.4	26662.6	29515.3	35384.7	39464.6	40478.8	40381.5	39886.5	39026.2	38405.1	36870.7	36499.6	36571.5	37426.2	39345.7	42095	41911.5	41070.6	38418.2	34879.6
02/02/2011	WED	31376.5	28334.1	26797.3	26397.8	26125	26895	30086.9	34652.9	38956.6	40003.5	39734	39412.4	38850.1	38208.1	36776.3	36090.7	35830.1	36655	38511.5	41178.5	41146.5	40505.9	38021.4	34444.2
03/02/2011	THU	30866.8	28455.3	27256	26496.8	25916.5	26388.3	29599.4	34420.4	39036.1	39292	39317.7	38788.1	38293.4	37427.2	35713	35591.8	35332.3	35975.7	38174.9	40784.4	40805.3	40286.6	38222.8	34772.1
04/02/2011	FRI	31324.7	28578.1	27013.4	26369	26232.1	26999.9	29742.1	34850.6	38761.7	39081	38980.7	38436.7	37442.5	36764.1	35151.9	33939.2	33714.7	34206	36003.6	39018.1	39081.6	39025.8	36712.3	34014.6
