X1;X2;Y
0.29;7.24;A
-0.38;6.81;A
0;6.78;A
-0.61;6.46;A
-0.45;6.99;A
-0.92;6.86;A
0.1;6.61;A
0.01;6.71;A
-0.67;7.1;A
-0.18;7.22;A
-1.64;6.55;A
-1.02;6.33;A
-1.87;6.65;A
-1.46;6.44;A
-1.74;6.88;A
-1.59;6.25;A
-1.82;6.43;A
-1.88;5.63;A
-1.69;6.38;A
-1.14;6.8;A
-2.56;5.69;A
-2.42;5.46;A
-1.93;5.1;A
-2.5;4.65;A
-2.55;5.08;A
-2.08;5.2;A
-2.2;5.08;A
-2.26;4.77;A
-2.24;4.64;A
-2.44;5.2;A
-2.83;3.63;A
-2.84;4.01;A
-2.42;3.44;A
-2.86;3.3;A
-2.93;3.94;A
-2.77;3.38;A
-2.33;3.36;A
-2.34;4.21;A
-2.42;3.57;A
-3.27;3.52;A
-2.94;1.97;A
-3.29;2.26;A
-3.58;2.58;A
-3.03;1.86;A
-3.32;2.6;A
-3.68;1.86;A
-3.24;2.44;A
-2.99;2.27;A
-3.57;2.59;A
-3.81;2.11;A
-3.07;0.67;A
-3.57;0.53;A
-3.41;0.5;A
-3.74;0.3;A
-3.5;-0.1;A
-3.65;0.39;A
-3.89;0.85;A
-3.91;0.6;A
-3.73;0.38;A
-3.71;0.4;A
-3.41;-0.84;A
-3.45;-1.05;A
-3.69;-1.22;A
-3.56;-1.72;A
-3.53;-0.93;A
-3.74;-0.83;A
-3.85;-1.15;A
-3.16;-0.59;A
-3.22;-1.3;A
-3.15;-0.77;A
-3.41;-2.84;A
-3.91;-2.52;A
-3.35;-2.71;A
;-2.96;A
-3.24;-2.39;A
-3.08;-2.57;A
-3.67;-2.32;A
-3.86;-2.44;A
-2.93;-2.84;A
-3.25;-2.33;A
-3.23;-3.07;A
-3.25;-3.51;A
-2.31;-3.95;A
-3;-3.21;A
-2.92;-3.31;A
-2.81;-3.79;A
-3.08;-3.37;A
-3.04;-3.25;A
-2.75;-3.67;A
-2.58;-3.83;A
-1.25;-4.72;A
-2.2;-4.37;A
-1.94;-4.21;A
-1.55;-4.58;A
-1.41;-4.62;A
-1.42;-4.91;A
-2.15;-4.09;A
-2.15;-4.48;A
-1.57;-4.1;A
-2.16;-4.47;A
-0.54;-4.08;A
-1.86;-4.52;A
-0.37;-4.33;A
-1.1;-4.55;A
-0.96;-4.56;A
-0.87;-4.42;A
-1.13;-4.5;A
-1.14;-4.47;A
-0.78;-4.11;A
-0.59;-4.5;A
0.72;-4.84;A
0.51;-4.95;A
0.45;-4.77;A
0.68;-4.53;A
0.18;-5.38;A
0.33;-4.64;A
0.97;-4.19;A
-0.1;-3.99;A
0.94;-5.27;A
1.04;-4.71;A
1.64;-4.78;A
1.83;-5.06;A
1.47;-4.43;A
1.77;-4.76;A
1.91;-4.47;A
2.49;-4.51;A
1.68;-4.42;A
2;-4.31;A
2.32;-4.55;A
1.48;-4.36;A
2.3;-3.46;A
2.86;-3.7;A
3.18;;A
3.13;-3.48;A
2.17;-3.59;A
2.42;-3.45;A
3.07;-3.38;A
2.99;-3.48;A
3.12;-3.11;A
3.18;-4.39;A
3.97;-2.02;A
3.79;-3.15;A
3.47;-2.81;A
3.86;-2.23;A
3.25;-2.58;A
4.1;-2.88;A
3.72;-2.3;A
3.72;-2.91;A
3.92;-1.95;A
3.58;-2.69;A
1.4;6.7;A
0.55;6.36;A
0.25;7.1;A
0.61;6.82;A
0.89;6.76;A
0.96;6.59;A
0.7;6.92;A
1.47;6.78;A
0.85;6.51;A
0.96;6.76;A
2.07;5.4;A
2.83;5.81;A
1.88;6.19;A
2.51;5.93;A
2.57;5.76;A
2.79;5.82;A
;5.25;A
2.33;5.65;A
2.28;6.25;A
2.54;6.16;A
3.47;4.58;A
3.51;4.87;A
3.15;4.85;A
3.95;4.78;A
3.41;4.71;A
3.08;5.02;A
3.61;4.66;A
3.79;4.58;A
4.08;4.42;A
2.97;4.95;A
3.31;2.46;A
4.35;2.32;A
4.39;2.69;A
4.01;2.77;A
3.15;3.05;A
3.76;3.42;A
3.68;2.74;A
4.12;3.1;A
4.11;3.27;A
4.05;2.42;A
3.87;1.37;A
4.08;1.2;A
3.86;0.84;A
3.8;0.95;A
4.3;0.9;A
3.92;1.48;A
3.8;0.65;A
4.2;0.78;A
4.85;1.63;A
3.99;0.9;A
4.16;-0.52;A
3.47;-0.94;A
3.42;-0.33;A
3.84;-0.88;A
3.08;-1.49;A
3.7;-0.58;A
3.66;-1.01;A
3.69;-1.01;A
3.4;-0.44;A
4.13;-0.7;A
-3.65;1.8;A
-3.34;1.63;A
-3.44;1.09;A
-4.05;1.38;A
-3.35;1.11;A
-3.33;1.11;A
-3.16;1.8;A
-3.28;1.56;A
-3.28;1.5;A
-3.54;1.33;A
0.86;4.11;B
0.25;3.42;B
0.58;3.26;B
0.41;3.77;B
0.58;3.91;B
0.38;4.4;B
-0.32;3.88;B
-0.33;4.2;B
-0.17;3.85;B
0.08;3.57;B
-0.43;3.27;B
-0.81;2.86;B
-0.81;3.63;B
-1.42;2.44;B
-0.09;3.57;B
-0.74;3.77;B
-0.31;3.63;B
-0.3;3.17;B
-0.79;2.96;B
-0.62;3.35;B
-0.96;1.01;B
-1.46;1.23;B
-1.14;1.01;B
-1;1.07;B
-1.42;1.39;B
-1.34;1.33;B
-1.01;1.29;B
-1.21;1.06;B
-2;1.29;B
-1.66;1.07;B
-1.08;0.11;B
-1.49;-0.39;B
-1.2;0.15;B
-1.27;-0.09;B
-2.09;-0.33;B
-1.11;0.33;B
-1.52;-0.21;B
-1.43;-0.12;B
-1.63;0.17;B
-1.08;0.04;B
-0.91;-1.45;B
-0.82;-1.29;B
-0.94;-1.15;B
-0.76;-1.19;B
-0.58;-1.85;B
-0.44;-1.26;B
-0.89;-1.68;B
-0.66;-1.79;B
-0.9;-1.06;B
-0.73;-1.35;B
0.32;-2.27;B
0.31;-2.25;B
0.62;-1.88;B
0.14;-2.15;B
-0.1;-2.38;B
-0.15;-2.17;B
-0.07;-2.56;B
0.07;-2.69;B
-0.02;-2.15;B
0.66;-2.54;B
1.31;-1.33;B
0.74;-1.5;B
1.2;-1.52;B
1.57;-1.73;B
0.8;-2.01;B
1.77;-1.63;B
1.49;-1.42;B
0.62;-1.62;B
1.16;-1.7;B
0.67;-1.06;B
1.63;0.55;B
1.73;0.24;B
2.29;0.12;B
1.72;0.66;B
1.5;-0.45;B
2.09;-0.44;B
1;-0.27;B
1.85;-0.06;B
1.31;-0.36;B
1.93;0.12;B
2.35;1.92;B
2.28;1.31;B
1.92;1.09;B
2.64;1.97;B
2.11;1.24;B
2.37;1.35;B
1.49;1.62;B
2.17;1.45;B
2.5;2.01;B
2.53;1.52;B
1.29;2.71;B
1.58;2.6;B
1.75;2.67;B
1.39;3.48;B
1.34;2.78;B
1.86;2.68;B
1.97;2.92;B
1.28;2.29;B
1.59;3.38;B
0.93;2.72;B
0.41;3.38;B
1;3.28;B
0.56;3.41;B
0.58;3.55;B
1.3;3.73;B
1.47;3.55;B
1.39;3.78;B
0.83;3.25;B
0.82;3.47;B
0.79;3.3;B
-1.23;2.86;B
-1.58;2.18;B
-1.12;1.68;B
-1.1;2.31;B
-1.6;1.81;B
-1.07;2.45;B
-1.33;1.82;B
-0.96;2.25;B
-1.22;2.15;B
-0.83;2.44;B
-1.96;0.73;B
-2.02;1.06;B
-2.03;0.38;B
-1.61;0.78;B
-1.76;0.63;B
-1.57;1.21;B
-1.68;0.92;B
-1.5;0.81;B
-1.23;0.49;B
-1.34;0.97;B
-1.68;-1.81;B
-1.22;-1.03;B
-1.62;-1.14;B
-1.38;-1.17;B
-0.81;-1.27;B
-1.94;-1.33;B
-0.63;-1.16;B
-0.92;-1.77;B
-1.04;-1.12;B
-1.55;-0.68;B
0.91;-2.9;B
0.79;-3.38;B
-0.04;-2.5;B
0.22;-2.85;B
0.43;-2.08;B
-0.12;-2.41;B
0.5;-2.26;B
0.63;-2.19;B
