X1;Y
-8.59;-4.02
-9.7;-5.12
-9.64;-4.28
-9.17;-4.52
-9.12;-4.61
-9.03;-5.44
-9.07;-3.78
-8.73;-4.7
-8.86;-4.31
-9.29;-4.9
-8.36;-2.76
-8.84;-2.83
-8.08;-2.94
-8.93;-2.92
-7.83;-2.85
-7.77;-3.15
-8.12;-2.67
-8.88;-2.9
-8.87;-2.8
-9.05;-2.86
-8.8;-1.44
-8.02;-0.93
-8.83;-1.98
-8.29;-1.53
-7.97;-1.29
-8.27;-1.39
-8.44;-1.71
-8.56;-1.38
-8.24;-0.66
-7.74;
-6.69;0.74
-6.86;0.59
-7.88;0.17
-7.36;0.24
-7.68;0.69
-7.1;0.67
-6.89;0.24
-7.08;1.05
-7.17;-0.02
-7.18;0.58
-6.79;1.15
-5.71;0.98
-6.29;0.93
-5.78;1.29
-6.05;0.91
-6.93;0.91
-6.84;0.74
-5.8;1.13
-6.82;0.9
-6.22;0.53
-5.17;1.19
-5.61;0.79
-5.47;0.47
-5.6;0.56
-5.62;0.33
-5.23;1.17
-5.24;0.78
-6.01;0.17
-5.39;0.06
-5.84;0.47
-4.62;-0.94
-4.92;-0.56
-4.3;-0.23
-4.47;-0.67
-5.25;0.03
-4.64;-1.2
-4.68;-0.59
-4.48;-0.48
-4.3;-0.63
-3.79;-0.37
-3.66;-2.31
-3.97;-3.26
-3.98;-2.08
-1.5;0.1
-3.8;-1.9
-3.62;-2.45
-4.08;-2.93
-3.75;-2.72
-4.3;-2.19
-3.66;-2.14
-3.96;-2.63
-2.95;-4.68
-2.54;-4.12
-2.67;-4.32
-3.02;-4.37
-2.71;-4.51
-2.82;-4.31
-2.62;-3.87
-2.43;-4.86
-2.33;-4.79
-2.81;-4.27
-1.82;-6.07
-1.65;-5.42
-1.7;-5.14
-1.95;-5.53
-1.76;-4.83
-2.21;-5.52
-1.99;-5.52
-1.75;-4.92
-1.73;-5.55
-1.8;-5.69
-3.36;-4.5
-2.81;-3.84
-3.13;-3.48
-3.03;-4.16
-2.83;-3.43
-3.75;-4.23
-3.31;-3.51
-2.64;-3.51
-2.74;
-3.57;-3.69
-0.55;-4.41
-0.11;-3.88
-0.13;-4.35
-0.43;-4.13
0.01;-4.36
0.19;-4.53
-0.44;-4.19
-0.03;-4.14
0.04;-3.95
-0.59;-4.56
-1.13;-5.28
-0.75;-5.58
-1.35;-5.79
-1.35;-5.68
-1.17;-4.92
-0.86;-5.91
-1.05;-4.99
-0.92;-5.23
-0.86;-5.52
-0.73;-5.46
0.21;-2.46
0.82;-2.95
0.65;-2.41
0.56;-2.89
0.7;-2.89
1.27;-2.5
0.85;-1.83
0.94;-2.14
0.79;-2.89
0.59;-2.44
1.58;-0.41
0.91;-0.04
1.5;-0.59
1.69;0.06
1.36;-0.27
1.53;-0.8
2.04;-0.44
1.05;-0.27
1.17;-0.62
2.06;-0.22
2.55;1.36
2.01;1.06
2.25;1.01
1.72;1.15
1.58;1.2
2.63;1.37
2.19;1.57
2.03;1.77
2.69;0.81
1.98;1.32
2.86;2.04
3.34;1.67
3.4;2.27
2.86;2.68
2.36;2.41
3.09;2.25
5;4
3.24;2.18
2.81;3.22
2.94;2.28
2.67;1.81
4.15;3.02
3.96;3.2
3.57;2.49
4.37;3.51
4.5;2.83
4.38;3.11
3.81;3.41
4.42;3.84
4.08;2.76
3.82;2.83
4.7;1.87
5.11;2.39
5.35;1.26
5.13;2.37
5.22;2.14
5.15;2.69
4.89;
5.18;2.29
5.65;1.61
4.66;1.51
6.1;-0.01
5.97;0.42
5.61;0.69
5.47;0.46
5.42;0.07
5.9;0.12
5.78;0.42
5.7;0.6
5.84;0.17
-6;3.1
5.77;0.11
6.6;-1.17
7.41;-0.98
6.69;-0.87
7.1;-1.21
6.68;-1.1
6.57;-0.69
7.46;-0.44
7.15;-0.91
6.67;-1.3
6.87;-1.28
7.76;-1.1
8.27;-1.18
8.09;-0.98
8.12;
7.95;-1.04
8.11;-1.29
7.79;-1.16
8.42;-0.69
8.38;-0.53
7.98;-1.16
9.63;1.1
9.66;1.13
2;-3
9.02;1.11
9.05;0.91
8.84;0.7
8.88;0.73
9.1;0.36
8.48;0.98
9.62;0.36
8.82;0.17
9.38;3.22
9.86;3.65
9.48;3.53
9.21;3.35
9.55;3.35
8.94;3.37
9.1;2.72
9.56;3.01
9.7;3.64
9.53;3.22
9.27;1.46
8.81;2.35
9.38;1.87
9.25;1.33
9.09;1.67
9.54;2.27
9.5;2.32
8.98;2.11
8.82;2.21
9.6;2.15
-8.49;-3.73
-8.96;-3.48
-9.6;-3.34
-8.65;-3.09
-9.38;-3.19
7.5;-2.5
-9.12;-3.29
-8.82;-3.89
-9.19;-3.39
-9.03;-3.62
-9.03;-4.17
1.09;-1.24
1.35;-1.92
0.99;-1.37
0.69;-2.05
0.6;-1.96
0.97;-1.45
0.93;-1.05
0.69;-1.61
0.53;-1.57
0.66;-1.65
-6.96;0.33
-7.24;0.28
-7.72;-0.37
-6.69;0.59
-7.24;0.65
-7.46;-0.68
-7.27;0.18
-7.57;0.56
-7.44;0.11
-7.03;-0.05
8.75;-0.24
8.36;-0.2
8.49;-0.11
8.72;-0.19
8.43;-0.58
8.26;0.01
8.34;-0.13
8.86;0.23
8.5;0.37
8.38;-0.25
