"X1";"X2";"Y"
0.6;9.67;0
-0.48;6.7;0
-0.16;7.15;0
-0.96;7.69;0
-1.05;6.44;0
-0.58;9.07;0
-1.21;7.9;0
-0.73;8.38;0
-1.25;10.19;0
-1.71;6.53;0
-1.31;8.38;0
-0.83;6.04;0
-0.49;6.59;0
-2.66;8.14;0
-1.28;7.23;0
-1.56;6.97;0
0.67;7.34;0
-1.45;8.55;0
-0.23;8.24;0
-0.22;7.43;0
-0.23;7.85;0
-0.94;7.16;0
-1.83;8.88;0
-1.04;9.35;0
-1.87;8.07;0
-2.27;7.46;0
-0.5;9.57;0
-0.46;6.75;0
-0.87;6.57;0
0.8;8.87;0
-1.6;8.52;0
-1.92;6.14;0
-1.78;7.1;0
-2.15;6.32;0
-3.09;8.15;0
-1.37;6.73;0
-2.99;8.9;0
-0.74;8.45;0
-0.76;7.6;0
-2.28;8.36;0
-1.78;6.36;0
-0.81;7.45;0
-1.25;6.12;0
-0.65;6.78;0
-0.77;6.54;0
-0.32;7.34;0
0.19;8.08;0
0.1;6.11;0
0.01;8.64;0
-0.48;6.43;0
-1.35;6.78;0
-0.12;8.44;0
-1.49;8.54;0
0.67;8.53;0
0.86;6.95;0
-0.91;7.48;0
-1.06;6.23;0
0.27;6.88;0
0.83;7.7;0
-0.47;7.74;0
-2.23;7.32;0
-0.85;6.38;0
0.41;6.88;0
0.87;7.08;0
-0.7;6.15;0
-1.67;8.78;0
-2.76;9.5;0
-1.19;8.58;0
-0.96;6.04;0
-0.98;7.83;0
-0.64;5.25;0
0.84;6.41;0
-0.75;5.38;0
-1.41;7.14;0
-0.21;8.37;0
-1.17;6.18;0
-1.83;7.49;0
-0.89;6.59;0
-1.36;6.22;0
-0.49;5.89;0
1.16;8.29;0
0.65;9.67;0
0.34;7.17;0
-0.22;7.38;0
-0.18;7.08;0
0.12;6.09;0
-1.56;6.9;0
-1.3;6.26;0
-1.71;6.87;0
-0.68;7.96;0
-2.06;8.13;0
-2.62;7.88;0
0.34;9.67;0
-2.1;6.12;0
-0.49;6.53;0
-0.17;7.61;0
-1.22;6.74;0
-0.47;7.29;0
-1.63;6.84;0
-0.6;8.36;0
-4.87;3.53;0
-2.78;4.4;0
-2.99;4.71;0
-2.46;3.96;0
-2.39;3.4;0
-2.82;2.78;0
-1.34;4.78;0
-1.99;4.9;0
-1.1;3.94;0
-3.84;4.03;0
-2.69;4.5;0
-2.33;4.06;0
-0.98;4.2;0
-3.28;3.17;0
-0.72;2.24;0
-0.85;2.8;0
-1.38;3.53;0
-0.37;2.96;0
-1.39;5.97;0
-2.61;4.59;0
-2.24;3.17;0
-2.23;4.32;0
0.13;5.07;0
-2.03;4.2;0
-3.27;3.18;0
-4.36;3.51;0
-1.16;2.53;0
-1.33;3.91;0
-2.6;7.33;0
-2.51;4.18;0
-1.65;4.33;0
-1.86;3.69;0
-2.23;3.89;0
-3.23;5.11;0
-0.18;4.91;0
-4.34;3.35;0
-1.63;3.59;0
-1.84;3.93;0
-1.91;4.38;0
-1.38;3.55;0
-2.37;4.79;0
-2.68;2.33;0
-1.26;3.67;0
-0.58;4.89;0
-1.61;5.54;0
-2.73;3.41;0
-1.03;6.14;0
-0.94;2.82;0
-0.43;3.84;0
-1.65;3.2;0
0.15;4.36;0
-1.65;4.39;0
-1.89;4.55;0
-2.14;4.96;0
-1.74;4.7;0
-2.05;5.27;0
-2.43;3.58;0
-2.73;4.71;0
-2.97;3.86;0
-2.93;1.62;0
-3.48;3.77;0
-2.14;2.86;0
-1.22;3.96;0
-1.91;3.24;0
-0.28;3.77;0
-2.73;5.01;0
-3.35;3.61;0
-2.05;3.62;0
-1.41;4.01;0
-1.33;4.22;0
-2.89;4.25;0
-1.96;4.09;0
-1.68;1.83;0
-1.19;3.95;0
-3.07;4.24;0
-4.02;4.37;0
-2.24;2.76;0
-1.64;3.24;0
-1.49;4.19;0
-1.92;4.18;0
-2.56;4.26;0
-2.03;5.12;0
-3.18;3.89;0
-1.83;4.39;0
-0.09;3.79;0
-1.36;4.23;0
-1.86;4.29;0
-1.03;3.74;0
-0.42;4.34;0
-3.12;2.29;0
-3.86;4.01;0
-0.86;4.25;0
-3.02;4.73;0
-0.61;4.02;0
-1.57;2.38;0
-3.09;4.61;0
-0.75;3.56;0
-2.54;3.43;0
-0.39;1.95;0
-0.86;4.73;0
-3.97;6.31;0
-5.16;6.47;0
-4.28;6.86;0
-4.07;7.19;0
-4.82;6.01;0
-4.02;7.02;0
-4.55;7.56;0
-4.95;5.6;0
-4.43;7.06;0
-5.71;5.93;0
-3.59;7.06;0
-5.09;7.91;0
-5.2;5.8;0
-2.62;6.75;0
-4.8;5.65;0
-5.3;4.42;0
-4.53;7.08;0
-2.98;6.41;0
-4.76;6.84;0
-4.44;6.53;0
-5.28;6.13;0
-3.21;6.43;0
-3.04;6.56;0
-2.57;6.61;0
-3.59;8.22;0
-4.99;6.89;0
-4.79;5.69;0
-2.93;5.76;0
-2.4;7.95;0
-3.88;6.52;0
-3.63;6.33;0
-5.93;5.12;0
-4.6;4.68;0
-3.85;6.28;0
-4.66;7.64;0
-5.81;6.03;0
-3.81;5.76;0
-3.8;7.72;0
-3.36;7.06;0
-5.28;5.99;0
-4.14;6.32;0
-4.82;5.97;0
-3.71;7.14;0
-4.19;7.29;0
-3.36;6.65;0
-3.76;6.95;0
-3.61;6.39;0
-4.12;6.43;0
-3.56;5.53;0
-5.03;4.97;0
-6.19;4.86;0
-4.91;6.64;0
-4.38;7;0
-6.45;6.66;0
-4.69;5.37;0
-4.47;6.02;0
-3.88;6.28;0
-3.98;6.26;0
-4.54;6.95;0
-4.83;7.45;0
-4.6;5.84;0
-4.37;8.43;0
-5.05;4.63;0
-4.04;6.12;0
-2.62;7.57;0
-4.69;6.44;0
-5.43;5.71;0
-2.5;9.42;0
-2.52;8.16;0
-3.38;6.74;0
-3.87;8.43;0
-4.54;6.49;0
-7.03;6.63;0
-4.21;5.63;0
-4.91;6.08;0
-4.91;6.43;0
-4.39;6.96;0
-3.04;5.85;0
-2.84;7.14;0
-3.54;6.42;0
-2.68;5.78;0
-3.86;6.38;0
-5.66;6.12;0
-3.41;6.12;0
-4.44;5.46;0
-4.25;6.53;0
-3.67;5.58;0
-5.62;6.79;0
-4.91;5.05;0
-3.45;6.16;0
-4.52;7.39;0
-3.7;4.78;0
-4.53;6.81;0
-2.6;5.2;0
-4.67;6.8;0
-3.11;6.42;0
-2.69;5.54;0
-2.52;4.7;0
-3.53;5.55;0
-5.18;6.45;0
1.2;5.41;0
2.47;4.57;0
2.21;3.81;0
3.93;5.4;0
3.02;4.76;0
1.35;2.35;0
1.41;5;0
3.48;2.61;0
-0.07;6.12;0
1.55;4.55;0
3.69;4.14;0
2.12;5.39;0
0.77;4.12;0
2.65;4.93;0
0.61;5.75;0
0.17;4.09;0
2;6.69;0
0.53;3.12;0
1.55;5.21;0
3.68;4.25;0
1.52;5.21;0
0.99;4.89;0
2.07;4.57;0
2.29;3.47;0
3.37;4.94;0
1.06;4.23;0
0.17;5.57;0
-0.29;3.78;0
1.88;4.79;0
1.39;3.38;0
4.06;4.28;0
0.7;4.17;0
2.23;4.36;0
1.43;5.42;0
2.74;3.26;0
1.45;3.57;0
3.03;4.72;0
2.45;4.37;0
0.42;2.86;0
0.86;3.56;0
1.66;4.62;0
2.59;2.83;0
3.51;5.28;0
1.61;3.1;0
1.43;3.89;0
2.03;4.29;0
1.48;2.19;0
0.95;4.6;0
2.33;5.23;0
1.68;3.91;0
1.31;4.26;0
2.21;5.29;0
0.74;2.54;0
1.55;4.45;0
2.65;3.47;0
1.76;4.7;0
2.74;3.65;0
0.96;2.87;0
2.62;3.64;0
2.05;4.71;0
3.77;4.08;0
1.85;3.58;0
2.1;3.87;0
0.43;4.98;0
1.54;5.48;0
2.39;5.45;0
0.73;3.89;0
1.99;5.72;0
2.64;3.16;0
1.51;4.55;0
2.42;4.87;0
2.65;3.67;0
2.86;3.65;0
3.63;4.06;0
2.03;5.12;0
-0.15;5.09;0
0.34;3.95;0
2.12;4.59;0
2.69;3.45;0
0.73;3.95;0
1.79;4.81;0
1.26;3.93;0
2.79;4.72;0
1.1;1.88;0
1.36;4.81;0
0.48;8.03;0
2.58;6.07;0
1.27;3.81;0
1.99;4.45;0
1.55;4.2;0
3.11;3.43;0
3.19;5.76;0
2.86;4.2;0
1.21;4.29;0
0.17;4;0
1.6;5.34;0
0.59;5.15;0
0.64;3.73;0
1.11;4.92;0
2.74;2.52;0
4.34;6.47;0
0.69;6.28;0
0.39;7.22;0
1.66;7.49;0
3.89;7.25;0
0.72;8.55;0
-0.12;6.98;0
-0.13;7.95;0
3.27;6.07;0
2.32;6.24;0
2.54;6.64;0
0.94;6.83;0
1.22;5.9;0
0.66;6.17;0
2.13;6.86;0
1.88;7.98;0
0.2;8.18;0
0.8;6.29;0
1.54;6.77;0
0.15;8.2;0
2.2;6.29;0
1.37;9.12;0
2.56;7.92;0
2.81;6.12;0
2.26;7.64;0
1.44;7.53;0
1.75;8;0
0.9;8.97;0
1.93;7.98;0
2.65;7.7;0
2.65;6.62;0
3.23;8.53;0
0.79;8.01;0
0.92;7.41;0
3.66;5.48;0
2.99;6.17;0
1.23;7.55;0
0.35;6.83;0
1.87;7.48;0
0.38;5.51;0
2.46;7.88;0
1.93;7.76;0
1.3;7.41;0
2.99;8.13;0
0.27;6.91;0
2.89;6.37;0
3.2;5.72;0
2.14;8.36;0
3.05;7.48;0
3.43;5.07;0
1.38;7.73;0
2.09;8.29;0
1.59;7;0
2.75;6.94;0
2.76;7.23;0
3.48;5.89;0
1.31;7.89;0
0.7;8.64;0
2.08;7.47;0
1.09;9.65;0
2.36;6.9;0
3.06;8.29;0
1.79;8;0
1.48;6.19;0
1.3;7.19;0
0.65;7.9;0
3.12;8.43;0
1.68;6.38;0
1.56;8.21;0
1.75;6.81;0
0.8;8.63;0
1.28;7.69;0
1.42;8;0
2.72;6.86;0
2.39;7.79;0
0.69;6.21;0
0.73;6.43;0
1.97;6.21;0
1.8;8.09;0
0.65;6.51;0
2.26;8.43;0
1.8;7.81;0
2.63;6.95;0
1.82;7.55;0
2.49;7.74;0
2.17;8.11;0
1.97;7.41;0
1.85;7.67;0
1.94;6.14;0
1.42;7.1;0
1.78;6.52;0
0.07;6.17;0
-0.46;6.86;0
2.34;8.77;0
0.75;5.46;0
2.57;7.92;0
1.95;5.34;0
-0.19;5.57;0
1.34;7.61;0
1.28;7.43;0
-6.57;2.56;0
-5.46;2.27;0
-3.99;1.81;0
-6.02;4.62;0
-5.91;2.86;0
-6.86;2.3;0
-7.68;3.29;0
-4.91;3.46;0
-6.14;1.64;0
-5.85;0.55;0
-6.11;3.48;0
-5.59;0.93;0
-5.02;2.02;0
-6;3.13;0
-4.76;3.95;0
-4.03;1.88;0
-5.99;3.05;0
-5.61;2.79;0
-4.33;1.12;0
-4.4;1.42;0
-6.4;2.24;0
-4.42;2.67;0
-6.26;2.71;0
-5.88;2.42;0
-4.49;0.72;0
-7.19;0.91;0
-5.6;4.66;0
-4.08;2.16;0
-6.44;3.17;0
-6.85;2.32;0
-5.59;3.71;0
-5.21;2.25;0
-5.31;2.86;0
-5.13;3.83;0
-5.13;3.08;0
-5.64;4.84;0
-5.75;1.04;0
-6.74;2.65;0
-5.59;2.38;0
-4.16;5.24;0
-5.12;2.66;0
-4.9;3.05;0
-6.52;2.78;0
-4.32;2.4;0
-5.1;2.1;0
-5.5;1.82;0
-5.21;1.85;0
-6.03;3.83;0
-5.48;0.95;0
-5.32;1.92;0
-6.46;1.28;0
-5.87;3.62;0
-5.01;2.75;0
-3.43;3.16;0
-4.81;2.49;0
-5.54;1.87;0
-5.67;2.7;0
-6.84;1.23;0
-6.26;3.28;0
-3.6;0.96;0
-5.36;3.38;0
-5.33;1.26;0
-4.65;3.3;0
-4.65;3.89;0
-7.83;2.27;0
-3.95;2.06;0
-6.19;3.14;0
-4.93;2.84;0
-6.12;1.19;0
-5.68;3.03;0
-5.03;1.89;0
-5.33;3.2;0
-6.4;0.82;0
-7.13;2.85;0
-6.41;1.83;0
-5.44;2.91;0
-4.41;3.9;0
-4.38;2.55;0
-6.29;2.34;0
-4.64;2.02;0
-4.4;2.87;0
-6.52;3.7;0
-4.88;1.12;0
-5.43;2.1;0
-5.08;1.47;0
-5.75;2.11;0
-6.64;2.87;0
-6.79;2.91;0
-3.93;3.98;0
-4.69;2.65;0
-5.48;0.92;0
-7.86;2.4;0
-5.23;3.23;0
-7.12;3.43;0
-4.12;2.89;0
-5.02;3.34;0
-5.73;1.71;0
-6;3.22;0
-4.53;2.58;0
-6.46;1.71;0
-1.48;-3.13;1
0.13;-3.2;1
-0.22;-4.61;1
-0.63;-3.05;1
-0.29;-4.8;1
-2.26;-3.04;1
0.36;-1.73;1
-1.52;-4.83;1
-0.51;-3.18;1
0.46;-4.76;1
-1.11;-3.42;1
-1.77;-4.44;1
-0.75;-2.84;1
0.17;-3.64;1
-1.41;-3.92;1
-1.57;-3.24;1
0.72;-4.05;1
1.73;-3.86;1
-0.39;-1.89;1
0.19;-4.09;1
1.39;-3.04;1
-0.77;-4.55;1
-1.86;-3.14;1
-1.84;-4.49;1
-0.7;-3.47;1
-0.79;-2.27;1
-2.89;-2.26;1
-0.17;-4.57;1
-0.72;-4.43;1
0.1;-3.32;1
-1.88;-4.19;1
-0.1;-3.63;1
0.01;-2.39;1
-1.99;-4.11;1
-0.4;-2.81;1
-1.68;-6.04;1
-1.71;-5.81;1
-1.66;-2.26;1
-0.72;-4.32;1
-1.36;-3.78;1
1.16;-4.59;1
-1.19;-4.11;1
0.03;-4.58;1
-1.97;-3.61;1
-0.61;-2.77;1
-1.27;-3.75;1
-1.63;-5.53;1
-0.55;-2.67;1
0.47;-3.24;1
-1.39;-3.09;1
-0.23;-3.94;1
0.14;-3.98;1
-0.8;-3.07;1
-1.48;-3.88;1
-0.41;-4.3;1
-0.75;-3.26;1
-2.15;-2.31;1
-2.49;-3.17;1
-0.36;-4.12;1
-1.07;-3.43;1
-1.69;-2.42;1
-1.4;-2.59;1
-0.49;-3.31;1
2.26;-4.33;1
1.47;-2.72;1
1.05;-4.06;1
-0.43;-3.11;1
-0.2;-3.32;1
-0.42;-2.46;1
-1.19;-4.38;1
0.45;-3.73;1
-1.4;-4.04;1
-2.15;-2.63;1
0.28;-4.74;1
-1.61;-3.57;1
-0.42;-4.34;1
-0.68;-2.51;1
-0.35;-3.45;1
-1.48;-4;1
-0.4;-3.5;1
-1.68;-3.89;1
-0.27;-3.07;1
-0.11;-3.14;1
-0.48;-3.88;1
-0.59;-2.73;1
-0.25;-2.65;1
0.13;-3.42;1
-0.07;-4.38;1
-0.54;-4.85;1
-1.08;-3.14;1
-0.29;-4.28;1
-2.11;-0.87;1
-0.53;-3.72;1
-1.26;-3.86;1
1.17;-4.22;1
-0.46;-3.92;1
-0.85;-1.46;1
-1.28;-4.48;1
0.28;-1.36;1
1.62;-4.82;1
-4.34;-3.13;1
-4.01;-3.82;1
-3.75;-4.61;1
-2.64;-2.71;1
-4.45;-4.44;1
-5.4;-3.09;1
-3.46;-4.6;1
-4.21;-3.27;1
-3.82;-4.61;1
-3.79;-4.34;1
-4.9;-2.26;1
-4.12;-4.64;1
-4.16;-4.62;1
-5.13;-3.74;1
-4.46;-4;1
-3.62;-2.83;1
-4.06;-4.36;1
-4.41;-3.3;1
-3.15;-3.26;1
-1.12;-4.27;1
-2.11;-3.86;1
-4.86;-3.32;1
-5.12;-3.07;1
-4.33;-3.8;1
-3.54;-2.4;1
-4.69;-3.96;1
-2.54;-3.06;1
-2.86;-5.23;1
-3.26;-3.32;1
-4.42;-3.44;1
-4.85;-4.41;1
-3.01;-3.63;1
-3.33;-5;1
-3.52;-5.18;1
-2.11;-3.5;1
-4.45;-4.9;1
-3.88;-4.27;1
-4.21;-3.26;1
-4.06;-4.6;1
-4.9;-5.12;1
-5.2;-4.34;1
-4.54;-3.43;1
-4.06;-2.34;1
-2.7;-3.17;1
