DATE	TOTAL
01/01/2009	3327801
01/02/2009	3481859
01/03/2009	3605402
01/04/2009	3644880
01/05/2009	3620139
01/06/2009	3564889
01/07/2009	3544095
01/08/2009	3629080
01/09/2009	3709447
01/10/2009	3808353
01/11/2009	3868946
01/12/2009	3923603
01/01/2010	4048493
01/02/2010	4130625
01/03/2010	4166613
01/04/2010	4142425
01/05/2010	4066202
01/06/2010	3982368
01/07/2010	3908578
01/08/2010	3969661
01/09/2010	4017763
01/10/2010	4085976
01/11/2010	4110294
01/12/2010	4100073
01/01/2011	4231003
01/02/2011	4299263
01/03/2011	4333669
01/04/2011	4269360
01/05/2011	4189659
01/06/2011	4121801
01/07/2011	4079742
01/08/2011	4130927
01/09/2011	4226744
01/10/2011	4360926
01/11/2011	4420462
01/12/2011	4422359
01/01/2012	4599829
01/02/2012	4712098
01/03/2012	4750867
01/04/2012	4744235
01/05/2012	4714122
01/06/2012	4615269
01/07/2012	4587455
01/08/2012	4625634
01/09/2012	4705279
01/10/2012	4833521
01/11/2012	4907817
01/12/2012	4848723
01/01/2013	4980778
01/02/2013	5040222
01/03/2013	5035243
01/04/2013	4989193
01/05/2013	4890928
01/06/2013	4763680
01/07/2013	4698814
01/08/2013	4698783
01/09/2013	4724355
01/10/2013	4811383
01/11/2013	4808908
01/12/2013	4701338
01/01/2014	4814435
01/02/2014	4812486
01/03/2014	4795866
01/04/2014	4684301
01/05/2014	4572385
01/06/2014	4449701
01/07/2014	4419860
01/08/2014	4427930
01/09/2014	4447650
01/10/2014	4526804
01/11/2014	4512116
01/12/2014	4447711
01/01/2015	4525691
01/02/2015	4512153
01/03/2015	4451939
01/04/2015	4333016
01/05/2015	4215031
01/06/2015	4120304
01/07/2015	4046276
01/08/2015	4067955
01/09/2015	4094042
01/10/2015	4176369
01/11/2015	4149298
01/12/2015	4093508
01/01/2016	4150755
01/02/2016	4152986
01/03/2016	4094770
01/04/2016	4011171
01/05/2016	3891403
01/06/2016	3767054
01/07/2016	3683061
01/08/2016	3697496
01/09/2016	3720297
01/10/2016	3764982
01/11/2016	3789823
01/12/2016	3702974
01/01/2017	3760231
01/02/2017	3750876
01/03/2017	3702317
01/04/2017	3573036
01/05/2017	3461128
01/06/2017	3362811
01/07/2017	3335924
01/08/2017	3382324
01/09/2017	3410182
01/10/2017	3467026
01/11/2017	3474281
01/12/2017	3412781
01/01/2018	3476528
01/02/2018	3470248
01/03/2018	3422551
01/04/2018	3335868
01/05/2018	3252130
01/06/2018	3162162
01/07/2018	3135021
01/08/2018	3182068
01/09/2018	3202509
01/10/2018	3254703
01/11/2018	3252867
01/12/2018	3202297
01/01/2019  3285761
01/02/2019  3289040
01/03/2019  3255084
01/04/2019  3163566
01/05/2019  3079491
01/06/2019  3015686
01/07/2019  3011433
01/08/2019  3065804
01/09/2019  3079711
01/10/2019	3177659
01/11/2019  3198184
01/12/2019	3163605
01/01/2020	3253853
01/02/2020	3246047
