"X1","X2","Y","Ypred"
-3.745291436,3.729409074,"NO","NO"
5.806531928,-4.70333247,"YES","YES"
4.209833411,-0.493488114,"YES","NO"
5.130392155,-3.632923074,"YES","YES"
4.547597567,-2.833073767,"YES","YES"
-2.771406501,-3.325044584,"NO","YES"
-1.144956109,-2.119193455,"YES","YES"
-2.340688978,-2.39793651,"YES","YES"
-6.078478729,6.586134303,"NO","NO"
-1.322664459,-3.192427856,"YES","YES"
-2.968403405,-6.378897745,"YES","YES"
-3.903976294,-4.445818004,"YES","YES"
3.642005857,-1.751872694,"NO","YES"
2.599810195,-4.330865234,"YES","YES"
3.927133827,0.850044644,"YES","NO"
-2.278322835,-0.81783674,"YES","YES"
-6.245693,2.511376817,"YES","NO"
4.827163694,-7.414767964,"YES","YES"
3.760553501,-1.33300424,"NO","YES"
2.733974969,4.30667597,"NO","NO"
-6.104902362,3.900129248,"YES","NO"
0.071247927,7.463282266,"NO","NO"
-5.789263464,2.398364273,"NO","NO"
-3.75763982,2.375828198,"NO","NO"
1.815073886,5.597810226,"NO","NO"
-2.603728215,-5.219420172,"YES","YES"
2.091880561,7.319462938,"NO","NO"
1.37694829,3.652650647,"NO","NO"
1.642782422,2.506988644,"NO","NO"
1.528187703,-8.359157369,"YES","YES"
0.280832072,1.293076559,"NO","NO"
-4.819823591,2.581452623,"YES","NO"
-4.504421157,8.072169168,"NO","NO"
0.932308842,-4.315180972,"NO","YES"
-4.656870942,2.506470199,"YES","NO"
-2.23298628,-4.789117991,"YES","YES"
3.055218376,-2.130222306,"NO","YES"
-2.166870127,4.732022415,"NO","NO"
1.772879131,-1.416832148,"NO","YES"
0.353744043,2.903341336,"NO","NO"
1.612166562,-6.130301437,"YES","YES"
2.134324772,4.272384597,"NO","NO"
3.690617432,-4.666523271,"YES","YES"
4.195326439,-6.844364105,"YES","YES"
1.708321128,6.834964826,"NO","NO"
2.762047236,-3.014473844,"YES","YES"
1.599806799,7.188419573,"NO","NO"
1.637839811,-0.538808087,"NO","NO"
0.958631896,2.67272648,"NO","NO"
1.615396607,-3.646934423,"YES","YES"
-2.284084952,7.440864194,"NO","NO"
-0.541168017,-9.6980955,"YES","YES"
0.548467073,2.287869886,"NO","NO"
3.642719217,-1.788398713,"NO","YES"
2.605458834,-2.34689975,"NO","YES"
3.42488569,0.446281083,"YES","NO"
3.453249689,-2.236473966,"NO","YES"
-4.628083877,0.896649601,"YES","NO"
0.223703422,-6.620104549,"YES","YES"
3.722378453,4.836031841,"NO","NO"
-1.126229256,5.310572862,"NO","NO"
0.936567829,0.602156657,"NO","NO"
-7.467202242,3.070323846,"YES","NO"
2.707494759,6.683833354,"NO","NO"
-5.550229355,6.647110054,"NO","NO"
-4.892565325,4.957147115,"NO","NO"
-3.074004402,2.530938156,"NO","NO"
4.9767255,5.308348296,"YES","NO"
1.03854464,-3.827123956,"NO","YES"
-4.403949746,0.912782039,"YES","NO"
6.049361227,4.781516573,"YES","NO"
2.510884223,-8.265289965,"YES","YES"
-4.360625273,1.240521971,"YES","NO"
1.306700083,-3.998024096,"NO","YES"
-2.306956934,-4.070805498,"YES","YES"
-1.759918129,-4.264436028,"NO","YES"
