"Income","Race","Sex","Birth.Country"
77516,"White","Male","United-States"
83311,"White","Male","United-States"
215646,"White","Male","United-States"
234721,"Black","Male","United-States"
338409,"Black","Female","Cuba"
284582,"White","Female","United-States"
160187,"Black","Female","Jamaica"
209642,"White","Male","United-States"
45781,"White","Female","United-States"
159449,"White","Male","United-States"
280464,"Black","Male","United-States"
141297,"Asian-Pac-Islander","Male","India"
122272,"White","Female","United-States"
205019,"Black","Male","United-States"
121772,"Asian-Pac-Islander","Male",""
245487,"Amer-Indian-Eskimo","Male","Mexico"
176756,"White","Male","United-States"
186824,"White","Male","United-States"
28887,"White","Male","United-States"
292175,"White","Female","United-States"
193524,"White","Male","United-States"
302146,"Black","Female","United-States"
76845,"Black","Male","United-States"
117037,"White","Male","United-States"
109015,"White","Female","United-States"
216851,"White","Male","United-States"
168294,"White","Male","United-States"
180211,"Asian-Pac-Islander","Male","South"
367260,"White","Male","United-States"
193366,"White","Male","United-States"
190709,"White","Male","United-States"
266015,"Black","Male","United-States"
386940,"White","Male","United-States"
59951,"White","Male","United-States"
311512,"Black","Male","United-States"
242406,"White","Male","Puerto-Rico"
197200,"White","Male","United-States"
544091,"White","Female","United-States"
84154,"White","Male",""
265477,"White","Male","United-States"
507875,"White","Male","United-States"
88506,"White","Male","United-States"
172987,"White","Male","United-States"
94638,"White","Female","United-States"
289980,"White","Male","United-States"
337895,"Black","Male","United-States"
144361,"White","Male","United-States"
128354,"White","Female","United-States"
101603,"White","Male","United-States"
271466,"White","Male","United-States"
32275,"Other","Female","United-States"
226956,"White","Female",""
51835,"White","Female","Honduras"
251585,"White","Male","United-States"
109832,"White","Male","United-States"
237993,"White","Male","United-States"
216666,"White","Male","Mexico"
56352,"White","Male","Puerto-Rico"
147372,"White","Male","United-States"
188146,"White","Male","United-States"
59496,"White","Male","United-States"
293936,"White","Male",""
149640,"White","Male","United-States"
116632,"White","Male","United-States"
105598,"White","Male","United-States"
155537,"White","Male","United-States"
183175,"White","Female","United-States"
169846,"White","Female","United-States"
191681,"White","Male","United-States"
200681,"White","Male","United-States"
101509,"White","Male","United-States"
309974,"Black","Female","United-States"
162298,"White","Male","United-States"
211678,"White","Male","United-States"
124744,"White","Male","United-States"
213921,"White","Male","Mexico"
32214,"White","Male","United-States"
212759,"White","Male","United-States"
309634,"White","Female","United-States"
125927,"White","Male","United-States"
446839,"White","Male","United-States"
276515,"White","Male","Cuba"
51618,"White","Female","United-States"
159937,"White","Male","United-States"
343591,"White","Female","United-States"
346253,"White","Female","United-States"
268234,"White","Male","United-States"
202051,"White","Male","United-States"
54334,"White","Male","United-States"
410867,"White","Female","United-States"
249977,"White","Male","United-States"
286730,"White","Female","United-States"
212563,"Black","Female","United-States"
117747,"Asian-Pac-Islander","Female",""
226296,"White","Male","United-States"
115585,"White","Male","United-States"
191277,"White","Male","United-States"
202683,"White","Male","United-States"
171095,"White","Female","England"
249409,"Black","Male","United-States"
124191,"White","Male","United-States"
198282,"White","Male","United-States"
149116,"White","Female","United-States"
188300,"White","Female","United-States"
103432,"White","Male","United-States"
317660,"White","Male","United-States"
304873,"White","Female","United-States"
194901,"White","Male","United-States"
189265,"White","Female","United-States"
124692,"White","Male","United-States"
432376,"White","Male","United-States"
65324,"White","Male","United-States"
335605,"White","Male","Canada"
377869,"White","Female","United-States"
102864,"White","Female","United-States"
95647,"White","Male","United-States"
303090,"White","Male","United-States"
197371,"Black","Male","United-States"
247552,"White","Male","United-States"
102632,"White","Male","United-States"
199915,"White","Female","United-States"
118853,"White","Male","United-States"
77143,"Black","Male","Germany"
267989,"White","Male","United-States"
301606,"Black","Male","United-States"
287828,"White","Female","United-States"
111697,"White","Female","United-States"
114937,"White","Male","United-States"
129305,"White","Male","United-States"
365739,"White","Male","United-States"
69621,"White","Female","United-States"
43323,"White","Female","United-States"
120985,"White","Male","United-States"
254202,"White","Male","United-States"
146195,"Black","Female","United-States"
125933,"White","Male","Iran"
56920,"White","Male","United-States"
163127,"White","Female","United-States"
34310,"White","Male","United-States"
81973,"Asian-Pac-Islander","Male","United-States"
66614,"White","Male","United-States"
232782,"White","Female","United-States"
316868,"White","Male","Mexico"
196584,"White","Female","United-States"
105376,"White","Male","United-States"
185814,"Black","Female","United-States"
175374,"White","Male","United-States"
108293,"White","Female","United-States"
181232,"White","Male","United-States"
174662,"White","Female","United-States"
186009,"White","Female","Mexico"
198183,"White","Female","United-States"
163003,"Asian-Pac-Islander","Female","Philippines"
296158,"White","Male","United-States"
252903,"White","Male","United-States"
187715,"White","Male","United-States"
214542,"White","Male","United-States"
494223,"Black","Male","United-States"
191535,"White","Male","United-States"
228456,"Black","Male","United-States"
38317,"White","Female","United-States"
252752,"White","Female","United-States"
78374,"Asian-Pac-Islander","Female","United-States"
88419,"Asian-Pac-Islander","Female","England"
201080,"White","Male","United-States"
207157,"White","Female","Mexico"
235485,"White","Male","United-States"
102628,"White","Male","United-States"
25828,"White","Male","United-States"
54826,"White","Female","United-States"
124953,"White","Male","United-States"
175325,"White","Male","United-States"
96062,"White","Male","United-States"
428030,"White","Male","United-States"
149624,"White","Male","United-States"
253814,"White","Female","United-States"
312956,"Black","Male","United-States"
483777,"Black","Male","United-States"
183930,"White","Male","United-States"
37274,"White","Male","United-States"
181344,"Black","Male","United-States"
114580,"White","Female","United-States"
633742,"Black","Male","United-States"
286370,"White","Male","Mexico"
29054,"White","Male","United-States"
304030,"Black","Male","United-States"
143129,"White","Female","United-States"
135105,"White","Female","United-States"
99928,"White","Female","United-States"
109567,"White","Male","United-States"
155222,"Black","Female","United-States"
159567,"White","Male","United-States"
523910,"Black","Male","United-States"
120939,"White","Male","United-States"
130760,"White","Male","United-States"
197387,"White","Male","Mexico"
99374,"White","Male","United-States"
56795,"White","Female","United-States"
138992,"White","Male","United-States"
32921,"White","Male","United-States"
397317,"White","Female","United-States"
